keff,panels_deg,areal_dens,type,solbor,burnup,vf
0.87126,200,0.022,bwr,0,24,0.7
0.90012,1,1.00E-11,bwr,0,35,0
0.90142,2,1.00E-11,bwr,0,35,0
0.9046,3,1.00E-11,bwr,0,35,0
0.90989,4,1.00E-11,bwr,0,35,0
0.932,8,1.00E-11,bwr,0,35,0
0.95288,12,1.00E-11,bwr,0,35,0
0.98702,20,1.00E-11,bwr,0,35,0
1.02939,40,1.00E-11,bwr,0,35,0
1.06145,80,1.00E-11,bwr,0,35,0
1.10695,200,1.00E-11,bwr,0,35,0
0.89976,1,0.002,bwr,0,35,0
0.89996,2,0.002,bwr,0,35,0
0.90072,3,0.002,bwr,0,35,0
0.90233,4,0.002,bwr,0,35,0
0.90314,8,0.002,bwr,0,35,0
0.90566,12,0.002,bwr,0,35,0
0.91041,20,0.002,bwr,0,35,0
0.92108,40,0.002,bwr,0,35,0
0.93623,80,0.002,bwr,0,35,0
0.96104,200,0.002,bwr,0,35,0
0.89937,1,0.004,bwr,0,35,0
0.90019,2,0.004,bwr,0,35,0
0.90003,3,0.004,bwr,0,35,0
0.90087,4,0.004,bwr,0,35,0
0.90112,8,0.004,bwr,0,35,0
0.90112,12,0.004,bwr,0,35,0
0.90176,20,0.004,bwr,0,35,0
0.90468,40,0.004,bwr,0,35,0
0.90892,80,0.004,bwr,0,35,0
0.91915,200,0.004,bwr,0,35,0
0.89932,1,0.006,bwr,0,35,0
0.89974,2,0.006,bwr,0,35,0
0.89991,3,0.006,bwr,0,35,0
0.90002,4,0.006,bwr,0,35,0
0.90082,8,0.006,bwr,0,35,0
0.89984,12,0.006,bwr,0,35,0
0.89944,20,0.006,bwr,0,35,0
0.89962,40,0.006,bwr,0,35,0
0.8984,80,0.006,bwr,0,35,0
0.89593,200,0.006,bwr,0,35,0
0.89984,1,0.008,bwr,0,35,0
0.89966,2,0.008,bwr,0,35,0
0.8994,3,0.008,bwr,0,35,0
0.89988,4,0.008,bwr,0,35,0
0.89965,8,0.008,bwr,0,35,0
0.89958,12,0.008,bwr,0,35,0
0.89947,20,0.008,bwr,0,35,0
0.89757,40,0.008,bwr,0,35,0
0.89394,80,0.008,bwr,0,35,0
0.87982,200,0.008,bwr,0,35,0
0.89943,1,0.01,bwr,0,35,0
0.90002,2,0.01,bwr,0,35,0
0.89995,3,0.01,bwr,0,35,0
0.90012,4,0.01,bwr,0,35,0
0.89947,8,0.01,bwr,0,35,0
0.89929,12,0.01,bwr,0,35,0
0.89807,20,0.01,bwr,0,35,0
0.89588,40,0.01,bwr,0,35,0
0.89132,80,0.01,bwr,0,35,0
0.86749,200,0.01,bwr,0,35,0
0.89951,1,0.012,bwr,0,35,0
0.89968,2,0.012,bwr,0,35,0
0.89995,3,0.012,bwr,0,35,0
0.89957,4,0.012,bwr,0,35,0
0.89904,8,0.012,bwr,0,35,0
0.8988,12,0.012,bwr,0,35,0
0.89751,20,0.012,bwr,0,35,0
0.89478,40,0.012,bwr,0,35,0
0.88916,80,0.012,bwr,0,35,0
0.85813,200,0.012,bwr,0,35,0
0.8989,1,0.014,bwr,0,35,0
0.90015,2,0.014,bwr,0,35,0
0.89905,3,0.014,bwr,0,35,0
0.89928,4,0.014,bwr,0,35,0
0.89869,8,0.014,bwr,0,35,0
0.89812,12,0.014,bwr,0,35,0
0.89739,20,0.014,bwr,0,35,0
0.89471,40,0.014,bwr,0,35,0
0.88743,80,0.014,bwr,0,35,0
0.85041,200,0.014,bwr,0,35,0
0.90008,1,0.016,bwr,0,35,0
0.89944,2,0.016,bwr,0,35,0
0.89923,3,0.016,bwr,0,35,0
0.89906,4,0.016,bwr,0,35,0
0.89893,8,0.016,bwr,0,35,0
0.89755,12,0.016,bwr,0,35,0
0.89694,20,0.016,bwr,0,35,0
0.89397,40,0.016,bwr,0,35,0
0.88711,80,0.016,bwr,0,35,0
0.84338,200,0.016,bwr,0,35,0
0.8994,1,0.018,bwr,0,35,0
0.89904,2,0.018,bwr,0,35,0
0.89993,3,0.018,bwr,0,35,0
0.89954,4,0.018,bwr,0,35,0
0.89868,8,0.018,bwr,0,35,0
0.89852,12,0.018,bwr,0,35,0
0.89628,20,0.018,bwr,0,35,0
0.8931,40,0.018,bwr,0,35,0
0.88629,80,0.018,bwr,0,35,0
0.83713,200,0.018,bwr,0,35,0
0.89961,1,0.02,bwr,0,35,0
0.89929,2,0.02,bwr,0,35,0
0.89953,3,0.02,bwr,0,35,0
0.89979,4,0.02,bwr,0,35,0
0.89834,8,0.02,bwr,0,35,0
0.89762,12,0.02,bwr,0,35,0
0.89656,20,0.02,bwr,0,35,0
0.89322,40,0.02,bwr,0,35,0
0.88586,80,0.02,bwr,0,35,0
0.83206,200,0.02,bwr,0,35,0
0.89975,1,0.022,bwr,0,35,0
0.89975,2,0.022,bwr,0,35,0
0.89975,3,0.022,bwr,0,35,0
0.89975,4,0.022,bwr,0,35,0
0.89856,8,0.022,bwr,0,35,0
0.89675,12,0.022,bwr,0,35,0
0.89621,20,0.022,bwr,0,35,0
0.89285,40,0.022,bwr,0,35,0
0.88522,80,0.022,bwr,0,35,0
0.82739,200,0.022,bwr,0,35,0
0.89738,1,1.00E-11,bwr,0,35,0.7
0.89863,2,1.00E-11,bwr,0,35,0.7
0.90283,3,1.00E-11,bwr,0,35,0.7
0.90953,4,1.00E-11,bwr,0,35,0.7
